Chembl_ID,IC50,units,SMILES,S_MOE,pIC50,activo,S_Ledock,S_VINA
CHEMBL554726,167.3,nM,O=C(Nc1cc2c(cc1)COC(C(=O)O)C2)CCCCC1SCSCC1,-8.1789541,6.776504059,1,-6.99,-8.3
CHEMBL551671,114.3,nM,O=C(Nc1cc2c(cc1)CC(C(=O)O)OC2)CCCCC1SCSCC1,-8.4538126,6.94195377,1,-6.82,-8.2
CHEMBL557655,304,nM,O=C(Nc1cc2C(=O)OC(C(=O)O)Cc2cc1)CCCCC1SSCC1,-8.2531738,6.517126416,1,-7.16,-8.1
CHEMBL562135,148.7,nM,O=C(O)C(OC)Cc1ccc(NC(=O)CCCCC2SSCC2)cc1,-7.5584245,6.827689031,1,-6.83,-7.2
CHEMBL564439,113,nM,O=C(O)C(OCC)Cc1ccc(NC(=O)CCCCC2SSCC2)cc1,-7.5000081,6.946921557,1,-6.61,-7.4
CHEMBL408,55000,nM,O(CC1(C)Oc2c(C)c(C)c(O)c(C)c2CC1)c1ccc(CC2=C(O)NC(=O)S2)cc1,-6.6800246,4.259637311,1,-6.61,-8.4
CHEMBL121,400000,nM,O(CCN(C)c1ncccc1)c1ccc(CC2=C(O)NC(=O)S2)cc1,-6.4180799,3.397940009,0,-7.72,-7.5
CHEMBL595,220000,nM,O(CCc1ncc(CC)cc1)c1ccc(CC2=C(O)NC(=O)S2)cc1,-6.5491533,3.657577319,0,-7.07,-7.4
CHEMBL362497,9000,nM,Brc1cc(C=C2C(=O)NC(=O)S2)c(OCc2ccccc2)cc1,-6.3271389,5.045757491,1,-8.4,-8.5
CHEMBL572800,8000,nM,Brc1cc(C=C2C(=O)NC(=O)S2)c(OCc2ccc(C(F)(F)F)cc2)cc1,-6.2586493,5.096910013,1,-8.3,-8.5
CHEMBL572582,8000,nM,Brc1cc(C=C2C(=O)NC(=O)S2)c(OCc2cc(C(F)(F)F)ccc2)cc1,-6.4264855,5.096910013,1,-8.72,-9.3
CHEMBL572814,8000,nM,Brc1cc(C=C2C(=O)NC(=O)S2)c(OCc2c(C(F)(F)F)cccc2)cc1,-6.151144,5.096910013,1,-8.26,-7.9
CHEMBL574813,5000,nM,Brc1cc(C=C2C(=O)NC(=O)S2)c(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,-6.8129792,5.301029996,1,-8.57,-9
